,Unnamed: 0_level_0,Designation,Thickness t (mm),Sectional Area (a) cm2,Weight per meter (w) kg,Centre of Gravity,Unnamed: 5,Distance of Extreme fibre,Unnamed: 7,Moment of Inertia,Unnamed: 9,Unnamed: 10,Unnamed: 11,Raddi of Gyration,Unnamed: 13,Unnamed: 14,Unnamed: 15,Moduli of Section ,Unnamed: 17,Product of Inertia Ixy cm4,Designation.1
,0,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Cxx cm,Cyy cm,exx cm,eyy cm,Ixx cm4,Iyy cm4,Iuu cm4,Ivv cm4,rxx cm,ryy cm,ruu cm,rvv cm,Zxx  cm3,Zyy  cm3,Unnamed: 19_level_1,Unnamed: 20_level_1
1,2,ISA 30203,3.0,1.41,1.1,0.98,0.49,2.02,1.51,1.2,0.4,1.4,0.2,0.92,0.54,0.99,0.41,0.6,0.3,0.4,ISA 30203
2,3,ISA 30204,4.0,1.84,1.4,1.02,0.53,1.98,1.47,1.5,0.5,1.8,0.3,0.92,0.54,0.98,0.41,0.8,0.4,0.5,ISA 30204
3,4,ISA 30205,5.0,2.25,1.8,1.06,0.57,1.94,1.43,1.9,0.6,2.1,0.4,0.91,0.53,0.97,0.41,1.0,0.4,0.6,ISA 30205
5,6,ISA 40253,3.0,1.88,1.5,1.3,0.57,2.7,1.93,3.0,0.9,3.3,0.5,1.25,0.68,1.33,0.52,1.1,0.5,0.9,ISA 40253
6,7,ISA 40254,4.0,2.46,1.9,1.35,0.62,2.65,1.88,3.8,1.1,4.3,0.7,1.25,0.68,1.32,0.52,1.4,0.6,1.2,ISA 40254
7,8,ISA 40255,5.0,3.02,2.4,1.39,0.66,2.61,1.84,4.6,1.4,5.1,0.8,1.24,0.67,1.31,0.52,1.8,0.7,1.4,ISA 40255
8,9,ISA 40256,6.0,3.56,2.8,1.43,0.69,2.57,1.81,5.4,1.6,5.9,1.0,1.23,0.66,1.29,0.52,2.1,0.9,1.6,ISA 40256
10,11,ISA 45303,3.0,2.18,1.7,1.42,0.69,3.08,2.31,4.4,1.5,5.0,0.9,1.42,0.84,1.52,0.63,1.4,0.7,1.5,ISA 45303
11,12,ISA 45304,4.0,2.86,2.2,1.47,0.73,3.03,2.27,5.7,2.0,6.5,1.1,1.41,0.84,1.51,0.63,1.9,0.9,1.9,ISA 45304
12,13,ISA 45305,5.0,3.52,2.8,1.51,0.77,2.99,2.23,6.9,2.4,7.9,1.4,1.4,0.83,1.5,0.63,2.3,1.1,2.3,ISA 45305
13,14,ISA 45306,6.0,4.16,3.3,1.55,0.81,2.95,2.19,8.0,2.8,9.2,1.7,1.39,0.82,1.49,0.63,2.7,1.3,2.7,ISA 45306
15,16,ISA 50303,3.0,2.34,1.8,1.63,0.65,3.37,2.35,5.9,1.6,6.5,1.0,1.59,0.82,1.67,0.65,1.7,0.7,1.7,ISA 50303
16,17,ISA 50304,4.0,3.07,2.4,1.68,0.7,3.33,2.3,7.7,2.1,8.5,1.2,1.58,0.82,1.66,0.63,2.3,0.9,2.3,ISA 50304
17,18,ISA 50305,5.0,3.78,3.0,1.72,0.74,3.28,2.26,9.3,2.5,10.3,1.5,1.57,0.81,1.65,0.63,2.8,1.1,2.7,ISA 50305
18,19,ISA 50306,6.0,4.47,3.5,1.76,0.78,3.24,2.22,10.9,2.9,11.9,1.8,1.56,0.8,1.64,0.63,3.4,1.3,3.1,ISA 50306
20,21,ISA 60405,5.0,4.76,3.7,1.95,0.96,4.05,3.04,16.9,6.0,19.5,3.4,1.89,1.12,2.02,0.85,4.2,2.0,5.8,ISA 60405
21,22,ISA 60406,6.0,5.65,4.4,1.99,1.0,4.01,3.0,19.9,7.0,22.8,4.0,1.88,1.11,2.01,0.85,5.0,2.3,6.8,ISA 60406
22,23,ISA 60408,8.0,7.37,5.8,2.07,1.08,3.93,2.92,25.4,8.0,29.0,5.2,1.86,1.1,1.98,0.84,6.5,3.0,8.5,ISA 60408
24,25,ISA 65455,5.0,5.26,4.1,2.07,1.08,4.43,3.42,22.1,8.6,25.9,4.8,2.05,1.28,2.22,0.96,5.0,2.5,8.0,ISA 65455
25,26,ISA 65456,6.0,6.25,4.9,2.11,1.12,4.39,3.38,26.0,10.1,30.4,5.7,2.04,1.27,2.21,0.95,5.9,3.0,9.4,ISA 65456
26,27,ISA 65458,8.0,8.17,6.4,2.19,1.2,4.31,3.3,33.2,12.8,38.7,7.4,2.02,1.25,2.18,0.95,7.7,3.9,11.8,ISA 65458
28,29,ISA 70455,5.0,5.52,4.3,2.27,1.04,4.73,3.46,27.2,8.8,30.9,5.1,2.22,1.26,2.36,0.96,5.7,2.5,8.9,ISA 70455
29,30,ISA 70456,6.0,6.56,5.2,2.32,1.09,4.68,3.41,32.0,10.3,36.3,6.0,2.21,1.25,2.35,0.96,6.8,3.0,10.5,ISA 70456
30,31,ISA 70458,8.0,8.58,6.7,2.4,1.16,4.6,3.34,41.0,13.1,46.3,7.8,2.19,1.24,2.32,0.95,8.9,3.9,13.2,ISA 70458
31,32,ISA 704510,10.0,10.52,8.3,2.48,1.24,4.52,3.26,49.3,15.6,55.4,9.5,2.16,1.22,2.29,0.95,10.9,4.8,15.5,ISA 704510
33,34,ISA 75505,5.0,6.02,4.7,2.39,1.16,5.11,3.84,34.1,12.2,39.4,6.9,2.38,1.42,2.56,1.07,6.7,3.2,11.8,ISA 75505
34,35,ISA 75506,6.0,7.16,5.6,2.44,1.2,5.06,3.8,40.3,14.3,46.4,8.2,2.37,1.41,2.55,1.07,8.0,3.8,13.9,ISA 75506
35,36,ISA 75508,8.0,9.38,7.4,2.52,1.28,4.98,3.72,51.8,18.3,59.4,10.6,2.35,1.4,2.52,1.06,10.4,4.9,17.7,ISA 75508
36,37,ISA 755010,10.0,11.52,9.0,2.6,1.36,4.9,3.64,62.3,21.8,71.2,12.9,2.33,1.38,2.49,1.06,12.7,6.0,20.9,ISA 755010
38,39,ISA 80505,5.0,6.27,4.9,2.6,1.12,5.4,3.88,40.6,12.3,45.7,7.2,2.55,1.4,2.7,1.07,7.5,3.2,12.9,ISA 80505
39,40,ISA 80506,6.0,7.46,5.9,2.64,1.16,5.36,3.84,48.0,14.4,53.9,8.5,2.54,1.39,2.69,1.07,9.0,3.8,15.2,ISA 80506
40,41,ISA 80508,8.0,9.78,7.7,2.72,1.24,5.27,3.76,61.9,18.5,69.3,11.0,2.52,1.37,2.66,1.06,11.7,4.9,19.3,ISA 80508
41,42,ISA 805010,10.0,12.02,9.4,2.81,1.32,5.19,3.68,74.7,22.1,83.3,13.5,2.49,1.36,2.63,1.06,14.4,6.0,22.9,ISA 805010
43,44,ISA 90606,6.0,8.65,6.8,2.87,1.39,6.13,4.61,70.6,25.2,81.5,14.3,2.86,1.71,3.07,1.28,11.5,5.5,24.5,ISA 90606
44,45,ISA 90608,8.0,11.37,8.9,2.96,1.48,6.04,4.52,91.5,32.4,105.3,18.6,2.84,1.69,3.04,1.28,15.1,7.2,31.5,ISA 90608
45,46,ISA 906010,10.0,14.01,11.0,3.04,1.55,5.96,4.45,110.9,39.1,127.3,22.8,2.81,1.67,3.01,1.27,18.6,8.8,37.8,ISA 906010
46,47,ISA 906012,12.0,16.57,13.0,3.12,1.63,5.88,4.37,129.1,45.2,147.5,26.8,2.79,1.65,2.98,1.27,22.0,10.3,43.3,ISA 906012
48,49,ISA 100656,6.0,9.55,7.5,3.19,1.47,6.81,5.03,96.7,32.4,110.6,18.6,3.18,1.84,3.4,1.39,14.2,6.4,32.5,ISA 100656
49,50,ISA 100658,8.0,12.57,9.9,3.28,1.55,6.72,4.93,125.9,41.9,143.6,24.2,3.16,1.83,3.38,1.39,18.7,8.5,42.0,ISA 100658
50,51,ISA 1006510,10.0,15.51,12.2,3.37,1.63,6.63,4.87,153.2,50.7,174.2,29.7,3.14,1.81,3.35,1.38,23.1,10.4,50.7,ISA 1006510
52,53,ISA 100756,6.0,10.14,8.0,3.01,1.78,6.99,5.72,100.9,48.7,124.0,25.6,3.15,2.19,3.5,1.59,14.4,8.5,41.0,ISA 100756
53,54,ISA 100758,8.0,13.36,10.5,3.1,1.87,6.9,5.63,131.6,63.3,161.3,33.6,3.14,2.18,3.48,1.59,19.1,11.2,53.4,ISA 100758
54,55,ISA 1007510,10.0,16.5,13.0,3.19,1.95,6.81,5.55,160.4,76.9,196.1,41.2,3.12,2.16,3.45,1.58,23.6,13.8,64.7,ISA 1007510
55,56,ISA 1007512,12.0,19.56,15.4,3.27,2.03,6.73,5.47,187.5,89.5,228.4,48.6,3.1,2.14,3.42,1.58,27.9,16.3,74.9,ISA 1007512
